LO_id,status,first_score,best_score,attempts,active_time
lo1,completed,10,10,1,383
lo2,completed,10,20,3,500
lo3,completed,50,50,1,59
lo4,completed,10,20,2,233
lo5,completed,48,48,1,79
lo6,completed,100,100,1,484
lo7,completed,100,100,1,321
lo8,completed,100,100,1,55
lo9,completed,100,100,1,211
lo10,completed,50,50,2,76
lo11,inProgress,,,0,188
lo12,inProgress,,,0,55
lo13,completed,100,100,1,380
lo14,completed,0,100,2,433
lo15,completed,100,100,1,342
lo16,completed,100,100,1,531
lo17,completed,50,75,2,73
lo18,completed,80,80,1,31
lo19,completed,,,0,222
lo20,inProgress,,,0,32
lo21,inProgress,30,60,2,522
lo22,completed,90,90,1,111
lo23,completed,70,70,1,213
lo24,completed,,,0,311
lo25,notStarted,90,100,3,333
lo26,notStarted,65,65,1,238
lo27,completed,80,80,1,98
lo28,completed,,,1,79
lo29,completed,20,30,2,88
lo30,inProgress,,,0,77
lo31,completed,80,80,1,887
lo32,completed,30,30,1,33
lo33,completed,59,59,1,55
lo34,completed,89,100,2,88
lo35,completed,100,100,1,77
lo36,completed,100,100,1,66
lo37,completed,100,100,1,80
lo38,completed,40,40,1,82
lo39,completed,60,70,2,333
lo40,completed,40,50,2,333
lo41,completed,90,90,1,83
lo42,completed,80,100,2,311
lo43,completed,100,100,1,90
lo44,completed,100,100,1,83
lo45,completed,90,90,1,89
lo46,completed,70,70,1,69
lo47,notStarted,,,0,0
lo48,notStarted,,,0,0
lo49,notStarted,,,0,0
lo50,notStarted,,,0,0
lo51,notStarted,,,0,0
lo52,notStarted,,,0,0
lo53,notStarted,,,0,0
lo54,notStarted,,,0,0
lo55,notStarted,,,0,0
lo56,notStarted,,,0,0
lo57,notStarted,,,0,0
lo58,notStarted,,,0,0
lo59,notStarted,,,0,0
lo60,notStarted,,,0,0
lo61,notStarted,,,0,0
lo62,notStarted,,,0,0
lo63,notStarted,,,0,0
lo64,notStarted,,,0,0
lo65,notStarted,,,0,0
lo66,notStarted,,,0,0
lo67,notStarted,,,0,0
lo68,notStarted,,,0,0
lo69,notStarted,,,0,0
lo70,completed,33,33,1,50
lo71,notStarted,,,0,0
lo72,notStarted,,,0,0
lo73,notStarted,,,0,0
lo74,notStarted,,,0,0
lo75,notStarted,,,0,0
lo76,notStarted,,,0,0
lo77,notStarted,,,0,0
lo78,notStarted,,,0,0
lo79,notStarted,,,0,0
lo80,notStarted,,,0,0
lo81,notStarted,,,0,0
lo82,notStarted,,,0,0
lo83,notStarted,,,0,0
lo84,notStarted,,,0,0
lo85,notStarted,,,0,0
lo86,notStarted,,,0,0
lo87,notStarted,,,0,0
lo88,notStarted,,,0,0
lo89,notStarted,,,0,0
lo90,notStarted,,,0,0
lo91,notStarted,,,0,0
lo92,notStarted,,,0,0
lo93,notStarted,,,0,0
lo94,notStarted,,,0,0
lo95,notStarted,,,0,0
lo96,notStarted,,,0,0
lo97,notStarted,,,0,0
lo98,notStarted,,,0,0
lo99,notStarted,,,0,0
lo100,notStarted,,,0,0
lo101,notStarted,,,0,0
lo102,notStarted,,,0,0
lo103,notStarted,,,0,0
lo104,notStarted,,,0,0
lo105,notStarted,,,0,0
lo106,notStarted,,,0,0
lo107,notStarted,,,0,0
lo108,notStarted,,,0,0
lo109,notStarted,,,0,0
lo110,notStarted,,,0,0
lo111,notStarted,,,0,0
lo112,notStarted,,,0,0
lo113,notStarted,,,0,0
lo114,notStarted,,,0,0
lo115,notStarted,,,0,0
lo116,notStarted,,,0,0
lo117,notStarted,,,0,0
lo118,notStarted,,,0,0
lo119,notStarted,,,0,0
lo120,notStarted,,,0,0
lo121,notStarted,,,0,0
lo122,notStarted,,,0,0
lo123,notStarted,,,0,0
lo124,notStarted,,,0,0
lo125,notStarted,,,0,0
lo126,notStarted,,,0,0
lo127,notStarted,,,0,0
lo128,notStarted,,,0,0
lo129,notStarted,,,0,0
